window_id,entity_id,container_id,machine_id,start_index,end_index,start_time,end_time,app_du,container_status,machine_status,split,anomaly_score,feature_error_vector,top_feature_rank,top_k_features,top_k_feature_errors,window_position,label,predicted_label,threshold,score_over_threshold
70217,c_1280,c_1280,m_2524,990,1013,745010,760990,574.0,0.0,0.0,test,15.0601425,"[0.197549507021904, 0.05962859094142914, 0.24528205394744873, 119.2979965209961, 0.2430591583251953, 0.059364646673202515, 0.08233528584241867, 0.2959171235561371]","[3, 7, 2, 4, 0, 6, 1, 5]","['mem_gps', 'disk_io', 'cpi', 'mpki', 'cpu_util']","[119.2979965209961, 0.2959171235561371, 0.24528205394744873, 0.2430591583251953, 0.197549507021904]",20304,0,1,5.500068187713623,9.560074
78568,c_15710,c_15710,m_2708,864,887,736290,752180,154.0,0.0,0.0,test,14.957536,"[0.37379536032676697, 0.0028296445962041616, 0.23675437271595, 118.45193481445312, 0.18476659059524536, 0.06308039277791977, 0.035281360149383545, 0.31184419989585876]","[3, 0, 7, 2, 4, 5, 6, 1]","['mem_gps', 'cpu_util', 'disk_io', 'cpi', 'mpki']","[118.45193481445312, 0.37379536032676697, 0.31184419989585876, 0.23675437271595, 0.18476659059524536]",18105,0,1,5.500068187713623,9.457468
51041,c_12181,c_12181,m_2145,990,1013,729720,752170,512.0,0.0,0.0,test,13.882955,"[0.21214866638183594, 0.005300965625792742, 0.1421222686767578, 110.04956817626953, 0.21762824058532715, 0.04341381415724754, 0.08189518004655838, 0.3115561306476593]","[3, 7, 4, 0, 2, 6, 5, 1]","['mem_gps', 'disk_io', 'mpki', 'cpu_util', 'cpi']","[110.04956817626953, 0.3115561306476593, 0.21762824058532715, 0.21214866638183594, 0.1421222686767578]",18103,0,1,5.500068187713623,8.382887
82674,c_12432,c_12432,m_2821,930,953,712440,727340,444.0,0.0,0.0,test,13.502464,"[0.024686308577656746, 0.0047475313767790794, 0.5259200930595398, 107.20413208007812, 0.05308450385928154, 0.011658049188554287, 0.043087612837553024, 0.15240147709846497]","[3, 2, 7, 4, 6, 0, 5, 1]","['mem_gps', 'cpi', 'disk_io', 'mpki', 'net_out']","[107.20413208007812, 0.5259200930595398, 0.15240147709846497, 0.05308450385928154, 0.043087612837553024]",11887,0,1,5.500068187713623,8.002396
116147,c_28828,c_28828,m_3622,888,911,677340,695910,258.0,0.0,0.0,test,13.289595,"[1.4449418783187866, 5.322627067565918, 0.05244940146803856, 91.28002166748047, 0.010696339420974255, 7.070001602172852, 0.31279584765434265, 0.8232234120368958]","[3, 5, 1, 0, 7, 6, 2, 4]","['mem_gps', 'net_in', 'mem_util', 'cpu_util', 'disk_io']","[91.28002166748047, 7.070001602172852, 5.322627067565918, 1.4449418783187866, 0.8232234120368958]",4344,1,1,5.500068187713623,7.7895265
112113,c_20691,c_20691,m_3507,972,995,718720,733500,442.0,0.0,0.0,test,12.679634,"[0.18966634571552277, 6.741217136383057, 0.13941025733947754, 85.77167510986328, 0.11118236929178238, 7.710974216461182, 0.315021812915802, 0.4579261839389801]","[3, 5, 1, 7, 6, 0, 2, 4]","['mem_gps', 'net_in', 'mem_util', 'disk_io', 'net_out']","[85.77167510986328, 7.710974216461182, 6.741217136383057, 0.4579261839389801, 0.315021812915802]",13422,1,1,5.500068187713623,7.179566
117573,c_21234,c_21234,m_3652,888,911,669810,683290,500.0,0.0,0.0,test,12.143772,"[0.05648231506347656, 0.006576179061084986, 0.7546287178993225, 93.742919921875, 0.21606355905532837, 0.13996921479701996, 1.9662467241287231, 0.267293244600296]","[3, 6, 2, 7, 4, 5, 0, 1]","['mem_gps', 'net_out', 'cpi', 'disk_io', 'mpki']","[93.742919921875, 1.9662467241287231, 0.7546287178993225, 0.267293244600296, 0.21606355905532837]",1224,1,1,5.500068187713623,6.643704
71691,c_22472,c_22472,m_2562,936,959,718210,732280,295.0,0.0,0.0,test,12.103169,"[21.89887237548828, 2.80415940284729, 15.623275756835938, 9.971701622009277, 0.09627661108970642, 27.925683975219727, 15.858452796936035, 2.6469316482543945]","[5, 0, 6, 2, 3, 1, 7, 4]","['net_in', 'cpu_util', 'net_out', 'cpi', 'mem_gps']","[27.925683975219727, 21.89887237548828, 15.858452796936035, 15.623275756835938, 9.971701622009277]",13086,1,1,5.500068187713623,6.6031013
134116,c_22700,c_22700,m_4028,864,887,668500,695960,130.0,0.0,0.0,test,11.88792,"[0.20086205005645752, 0.15939414501190186, 1.1502307653427124, 91.67705535888672, 0.07111794501543045, 0.7950319647789001, 0.5239893198013306, 0.525679886341095]","[3, 2, 5, 7, 6, 0, 1, 4]","['mem_gps', 'cpi', 'net_in', 'disk_io', 'net_out']","[91.67705535888672, 1.1502307653427124, 0.7950319647789001, 0.525679886341095, 0.5239893198013306]",4351,0,1,5.500068187713623,6.387852
153237,c_13590,c_13590,m_811,834,857,667080,680220,147.0,0.0,0.0,test,11.704093,"[0.11485683917999268, 0.028789758682250977, 0.2611720561981201, 92.6611557006836, 0.16891159117221832, 0.016548404470086098, 0.004258506465703249, 0.3770531415939331]","[3, 7, 2, 4, 0, 1, 5, 6]","['mem_gps', 'disk_io', 'cpi', 'mpki', 'cpu_util']","[92.6611557006836, 0.3770531415939331, 0.2611720561981201, 0.16891159117221832, 0.11485683917999268]",426,0,1,5.500068187713623,6.204025
